Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1747815242.012133,2763,9,1
4,Delivery,1747815242.014940,191954,9,1
1,NewOrder,1747815242.016055,3367,5,1
1,NewOrder,1747815242.016104,2939,1,1
2,Payment,1747815242.019076,45766,1,1
1,NewOrder,1747815242.019438,4449,5,1
1,NewOrder,1747815242.023919,4614,5,1
2,Payment,1747815242.028565,51608,5,1
1,NewOrder,1747815242.030116,2454,0,1
2,Payment,1747815242.032600,45728,0,1
2,Payment,1747815242.038752,48960,3,1
1,NewOrder,1747815242.046095,2251,6,1
2,Payment,1747815242.048377,1159,6,1
1,NewOrder,1747815242.049554,4582,6,1
1,NewOrder,1747815242.054161,2301,6,1
1,NewOrder,1747815242.056483,2669,6,1
1,NewOrder,1747815242.059172,3016,6,1
1,NewOrder,1747815242.062217,2612,6,1
1,NewOrder,1747815242.064851,2073,6,1
3,OrderStatus,1747815242.064857,15616,1,1
1,NewOrder,1747815242.066943,2655,6,1
5,StockLevel,1747815242.069620,2424,6,1
2,Payment,1747815242.072065,1120,6,1
1,NewOrder,1747815242.073202,1715,6,1
1,NewOrder,1747815242.073335,4969,8,1
5,StockLevel,1747815242.074937,2178,6,1
2,Payment,1747815242.077143,60876,6,1
2,Payment,1747815242.078326,1175,8,1
1,NewOrder,1747815242.078341,1890,0,1
2,Payment,1747815242.079517,1191,8,1
2,Payment,1747815242.080192,916,5,1
2,Payment,1747815242.080245,44177,0,1
2,Payment,1747815242.080489,57805,1,1
2,Payment,1747815242.080719,67736,8,1
2,Payment,1747815242.081120,48504,5,1
2,Payment,1747815242.087737,45074,3,1
3,OrderStatus,1747815242.124450,52841,0,1
4,Delivery,1747815242.129647,125050,5,1
2,Payment,1747815242.132838,57928,3,1
2,Payment,1747815242.138047,772,6,1
2,Payment,1747815242.138311,955,1,1
1,NewOrder,1747815242.138836,2162,6,1
5,StockLevel,1747815242.139280,2244,1,1
2,Payment,1747815242.141017,635,6,1
5,StockLevel,1747815242.141537,2017,1,1
1,NewOrder,1747815242.141665,3575,6,1
1,NewOrder,1747815242.143576,2455,1,1
2,Payment,1747815242.145261,56384,6,1
2,Payment,1747815242.146045,708,1,1
1,NewOrder,1747815242.146764,1767,1,1
4,Delivery,1747815242.148496,259116,8,1
1,NewOrder,1747815242.148540,1859,1,1
4,Delivery,1747815242.150431,262388,1,1
1,NewOrder,1747815242.177313,1695,0,1
2,Payment,1747815242.179032,44924,0,1
4,Delivery,1747815242.190787,215994,3,1
1,NewOrder,1747815242.201666,4391,6,1
1,NewOrder,1747815242.206087,2713,6,1
1,NewOrder,1747815242.206930,2393,9,1
2,Payment,1747815242.208817,566,6,1
5,StockLevel,1747815242.209336,1769,9,1
3,OrderStatus,1747815242.209394,52592,6,1
1,NewOrder,1747815242.211122,1903,9,1
1,NewOrder,1747815242.213044,3077,9,1
5,StockLevel,1747815242.216146,2141,9,1
1,NewOrder,1747815242.218321,3948,9,1
2,Payment,1747815242.222292,1179,9,1
3,OrderStatus,1747815242.223484,17022,9,1
3,OrderStatus,1747815242.223844,59570,2,1
2,Payment,1747815242.223967,65036,0,1
2,Payment,1747815242.224592,44569,7,1
1,NewOrder,1747815242.240534,4305,9,1
1,NewOrder,1747815242.244866,5377,9,1
2,Payment,1747815242.250272,1604,9,1
1,NewOrder,1747815242.251897,4219,9,1
1,NewOrder,1747815242.254885,2755,5,1
2,Payment,1747815242.256138,1222,9,1
2,Payment,1747815242.257403,1359,9,1
1,NewOrder,1747815242.257656,2053,5,1
3,OrderStatus,1747815242.257824,15667,4,1
1,NewOrder,1747815242.258774,3468,9,1
2,Payment,1747815242.259720,630,5,1
1,NewOrder,1747815242.260359,1224,5,1
2,Payment,1747815242.261594,46147,5,1
2,Payment,1747815242.261999,704,6,1
2,Payment,1747815242.262254,80610,9,1
2,Payment,1747815242.262713,557,6,1
2,Payment,1747815242.263279,46358,6,1
2,Payment,1747815242.269176,44404,7,1
2,Payment,1747815242.273513,801,4,1
1,NewOrder,1747815242.274326,2177,4,1
2,Payment,1747815242.276516,640,4,1
1,NewOrder,1747815242.277166,1509,4,1
2,Payment,1747815242.278686,43989,4,1
2,Payment,1747815242.283433,44372,2,1
2,Payment,1747815242.289018,79695,0,1
2,Payment,1747815242.307757,590,5,1
1,NewOrder,1747815242.308356,1323,5,1
1,NewOrder,1747815242.309652,1942,6,1
1,NewOrder,1747815242.309689,1549,5,1
2,Payment,1747815242.311247,949,5,1
1,NewOrder,1747815242.311603,2708,6,1
3,OrderStatus,1747815242.312205,51955,5,1
1,NewOrder,1747815242.313591,1843,7,1
1,NewOrder,1747815242.314323,1508,6,1
2,Payment,1747815242.315444,579,7,1
2,Payment,1747815242.315839,43681,6,1
2,Payment,1747815242.316032,43879,7,1
1,NewOrder,1747815242.322697,2563,4,1
2,Payment,1747815242.325277,43483,4,1
